cisGene.Symbol,transGene.Symbol
RPS26,
AGAP8,AGAP4
RPSA,RPSAP19
RPS2,RPS2P5
KANK3,RPS28P7
FAM21A,
RPL13,RPL13P12
CICP14,CICP13
RP11-274B21.3,CICP13
RPS28,AC018738.2
CCDC144B,USP32P1
RPS28,RPS28P7
RP11-274B21.2,CICP13
RP11-274B21.4,CICP13
RPS2,RPS2P46
EIF3F,EIF3FP3
CICP14,CICP5
RP11-423H2.1,THOC3
RPS18,
RP11-274B21.3,RP11-261C10.7
ZNF322,ZNF322P1
CCDC74A,AC018804.6
AC018638.1,RP11-261C10.7
RP11-274B21.4,CICP5
ARL17B,
MIR3179-2,PKD1P5
NOMO3,PKD1P5
RP11-958N24.2,PKD1P5
RP11-274B21.2,CICP5
RP11-798G7.8,
KANSL1,
PYROXD1,RP11-819M15.1
DHFR,DHFRP1
RP11-274B21.2,RP11-261C10.7
NOMO3,NPIPA8
AC138969.4,NPIPA8
RP11-958N24.2,NPIPA8
PKD1P1,NPIPA8
RP11-274B21.8,CICP5
MTRF1L,RP11-756P10.3
RP11-274B21.1,CICP5
RP11-212P7.2,CICP5
RP11-274B21.4,RP11-261C10.7
AC018638.1,CICP26
CICP14,CICP26
RP11-274B21.3,CICP26
MXD3,AC016734.2
AGAP7,CTGLF11P
RP11-995C19.2,
RPSA,RPSAP15
RALGAPA1,RALGAPA1P
NOMO3,
RP11-958N24.2,
PLGLB1,PLGLA
PLGLB2,PLGLA
AC092651.1,PLGLA
RP11-274B21.1,RP11-261C10.7
RP11-274B21.8,RP11-261C10.7
MZT2A,AC018804.6
RP11-212P7.2,RP11-261C10.7
H3F3A,H3F3AP4
RPL12,RPL12P16
NOMO3,RP11-304L19.2
AC138969.4,RP11-304L19.2
RP11-958N24.2,RP11-304L19.2
PKD1P1,RP11-304L19.2
RPS26,RPS26P6
ANKRD20A7P,
LDHA,LDHAP4
AC125232.1,PLGLA
HMGB1,HMGB1P5
OCLN,RP11-195E2.1
ANKRD20A4,ANKRD20A2
ANKRD20A1,ANKRD20A2
CTGLF12P,AGAP10;AGAP9
RP11-274B21.1,CICP13
AGAP9,RP11-144G6.12
AGAP9,AGAP10;AGAP9
CHRFAM7A,CHRNA7
